Add Component: Footprint Not Found 20P 2.5mm
Add Pin To Net: Unknown Pin: Pin J14-1
Add Pin To Net: Unknown Pin: Pin J14-3
Add Pin To Net: Unknown Pin: Pin J14-5
Add Pin To Net: Unknown Pin: Pin J14-6
Add Pin To Net: Unknown Pin: Pin J14-7
Add Pin To Net: Unknown Pin: Pin J14-8
Add Pin To Net: Unknown Pin: Pin J14-9
Add Pin To Net: Unknown Pin: Pin J14-10
Add Pin To Net: Unknown Pin: Pin J14-11
Add Pin To Net: Unknown Pin: Pin J14-12
Add Pin To Net: Unknown Pin: Pin J14-13
Add Pin To Net: Unknown Pin: Pin J14-14
Add Pin To Net: Unknown Pin: Pin J14-15
Add Pin To Net: Unknown Pin: Pin J14-16
Add Pin To Net: Unknown Pin: Pin J14-17
Add Pin To Net: Unknown Pin: Pin J14-18
Add Pin To Net: Unknown Pin: Pin J14-19
Add Pin To Net: Unknown Pin: Pin J14-20
Add Class Member: Failed to add class member : Component J14 DF11-20DP-2DSA_01_
